VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,09/01/2021 06:56:07 AM,09/01/2021 07:17:15 AM,N,1,25,88,1,4.02,17.5,0,0.5,6.32,0,,0.3,27.37,1,1,2.75
2,09/01/2021 06:58:00 AM,09/01/2021 07:18:08 AM,N,1,42,170,1,6.01,20,0,0.5,7.06,0,,0.3,30.61,1,1,2.75
2,09/01/2021 06:58:00 AM,09/01/2021 07:05:00 AM,,,235,169,,1.17,12.62,2.75,0,0,0,,0.3,15.67,,,
1,09/01/2021 06:58:02 AM,09/01/2021 07:06:41 AM,N,1,74,166,1,1.6,8,0,0.5,1.75,0,,0.3,10.55,1,1,0
2,09/01/2021 06:59:00 AM,09/01/2021 08:01:00 AM,,,193,39,,18.15,34.01,2.75,0,0,0,,0.3,37.06,,,
2,09/01/2021 07:00:24 AM,09/01/2021 08:17:38 AM,N,1,19,197,1,16.27,63,0,0.5,0,0,,0.3,63.8,1,1,0
1,09/01/2021 07:00:26 AM,09/01/2021 07:23:41 AM,N,1,74,247,3,3.3,16,0,0.5,5,0,,0.3,21.8,1,1,0
2,09/01/2021 07:00:34 AM,09/01/2021 07:04:01 AM,N,1,127,127,1,0.44,4,0,0.5,0,0,,0.3,4.8,1,1,0
2,09/01/2021 07:01:00 AM,09/01/2021 07:20:42 AM,N,1,63,56,1,5.93,20,0,0.5,3.12,0,,0.3,23.92,1,1,0
2,09/01/2021 07:01:00 AM,09/01/2021 07:21:00 AM,,,85,189,,3.43,22.45,2.75,0,0,0,,0.3,25.5,,,
2,09/01/2021 07:01:00 AM,09/01/2021 07:33:00 AM,,,197,75,,13.84,33.26,5.5,0,0,6.55,,0.3,45.61,,,
2,09/01/2021 07:01:00 AM,09/01/2021 07:42:00 AM,,,225,16,,19.4,52.68,2.75,0,0,0,,0.3,55.73,,,
2,09/01/2021 07:01:43 AM,09/01/2021 07:28:50 AM,N,1,52,162,6,7.92,26.5,0,0.5,4,0,,0.3,34.05,1,1,2.75
2,09/01/2021 07:02:00 AM,09/01/2021 07:41:00 AM,,,131,161,,13.98,39.94,2.75,0,0,6.55,,0.3,49.54,,,
2,09/01/2021 07:02:03 AM,09/01/2021 07:42:36 AM,N,1,95,65,1,10.79,33.5,0,0.5,10.29,0,,0.3,44.59,1,1,0
2,09/01/2021 07:02:13 AM,09/01/2021 07:21:06 AM,N,1,75,208,1,9.47,27.5,0,0.5,3,0,,0.3,31.3,1,1,0
2,09/01/2021 07:03:00 AM,09/01/2021 07:24:00 AM,,,116,161,,5.7,25.82,0,0,6.36,0,,0.3,35.23,,,
2,09/01/2021 07:03:00 AM,09/01/2021 07:12:00 AM,,,18,220,,1.94,19.56,2.75,0,0,0,,0.3,22.61,,,
2,09/01/2021 07:04:00 AM,09/01/2021 07:53:00 AM,,,135,236,,15.8,39.78,2.75,0,0,6.55,,0.3,49.38,,,
2,09/01/2021 07:05:00 AM,09/01/2021 07:18:00 AM,,,208,242,,3.28,20.04,2.75,0,0,0,,0.3,23.09,,,
2,09/01/2021 07:05:18 AM,09/01/2021 07:09:53 AM,N,1,74,75,1,1.32,6,0,0.5,1.36,0,,0.3,8.16,1,1,0
2,09/01/2021 07:05:18 AM,09/01/2021 07:11:59 AM,N,1,41,152,1,0.91,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
